sequence,timestamp,pose.x,pose.y,pose.z,pose.roll,pose.pitch,pose.yaw
81,8.1,-2.31382,-7.13991,0.04647,-0.00091,0.02632,1.55709
82,8.2,-2.29767,-7.14401,0.04689,-0.00048,0.02607,1.55682
83,8.3,-2.29949,-7.14333,0.04897,-0.0004,0.02646,1.55717
84,8.4,-2.30603,-7.15137,0.05224,-0.0013,0.02653,1.55592
85,8.5,-2.30239,-7.11491,0.02791,0.00031,0.02538,1.55806
86,8.6,-2.30317,-7.14532,0.04583,-0.00051,0.02601,1.55672
87,8.7,-2.30407,-7.14026,0.04707,-0.00069,0.02626,1.55694
88,8.8,-2.30729,-7.14304,0.04568,-0.00071,0.02617,1.55679
89,8.9,-2.30871,-7.14279,0.04873,-0.0008,0.02609,1.55697
90,9,-2.30464,-7.14361,0.04936,-0.00059,0.02617,1.55681
91,9.1,-2.30126,-7.14134,0.04744,-0.00042,0.02631,1.55703
92,9.2,-2.30556,-7.14658,0.04491,-0.00078,0.02569,1.55702
93,9.3,-2.31005,-7.15462,0.05038,-0.00102,0.02633,1.55565
94,9.4,-2.30619,-7.13118,0.04248,-0.00028,0.02612,1.55741
95,9.5,-2.30407,-7.14576,0.04746,-0.00058,0.02596,1.55728
96,9.6,-2.30327,-7.14335,0.04782,-0.00066,0.02638,1.55676
97,9.7,-2.30746,-7.1447,0.04387,-0.00055,0.02607,1.55659
98,9.8,-2.30547,-7.14426,0.04978,-0.00059,0.02642,1.55691
99,9.9,-2.30754,-7.1455,0.0458,-0.00026,0.02611,1.5566
100,10,-2.30361,-7.12599,0.03775,-0.0001,0.02573,1.55768
101,10.1,-2.30264,-7.12507,0.03455,-6E-05,0.0256,1.5578
102,10.2,-2.30998,-7.1475,0.04186,-0.00075,0.0258,1.55627
103,10.3,-2.30696,-7.14343,0.04388,-0.00034,0.02612,1.55665
104,10.4,-2.30556,-7.14537,0.04551,-0.0007,0.02569,1.55714
105,10.5,-2.30643,-7.1471,0.04668,-0.00054,0.02617,1.55678
106,10.6,-2.30745,-7.14045,0.04523,-0.00061,0.02615,1.55642
107,10.7,-2.30471,-7.14251,0.04603,-0.00044,0.02615,1.55691
108,10.8,-2.30193,-7.14322,0.04623,-0.00056,0.02594,1.55684
109,10.9,-2.29925,-7.12711,0.03852,-0.00022,0.02569,1.55753
110,11,-2.30599,-7.1438,0.0468,-0.00037,0.02625,1.55685
111,11.1,-2.304,-7.14751,0.0468,-0.00076,0.02572,1.55633
112,11.2,-2.30606,-7.14158,0.04388,-0.0006,0.02619,1.55698
113,11.3,-2.30625,-7.14376,0.05063,-0.00077,0.0264,1.55626
114,11.4,-2.30368,-7.14289,0.0493,-0.00074,0.02603,1.55734
115,11.5,-2.30733,-7.15515,0.0525,-0.00118,0.02645,1.55591
116,11.6,-2.29894,-7.11555,0.03112,0.00013,0.02541,1.5579
117,11.7,-2.30186,-7.14591,0.04928,-0.00073,0.0262,1.55693
118,11.8,-2.30462,-7.14617,0.04458,-0.00027,0.02611,1.55651
119,11.9,-2.30492,-7.14437,0.04506,-0.00059,0.0258,1.55708
120,12,-2.30586,-7.14505,0.04692,-0.00073,0.02626,1.55655
121,12.1,-2.30244,-7.14423,0.05036,-0.00042,0.02594,1.5571
122,12.2,-2.30939,-7.14637,0.04693,-0.00066,0.02629,1.5564
123,12.3,-2.30384,-7.14303,0.04739,-0.00066,0.02621,1.55696
124,12.4,-2.30994,-7.15318,0.05109,-0.00116,0.02627,1.55616
125,12.5,-2.29978,-7.11965,0.03075,0.0001,0.02544,1.55795
126,12.6,-2.30347,-7.14693,0.04514,-0.00037,0.02583,1.55669
127,12.7,-2.30781,-7.14243,0.04836,-0.00076,0.02663,1.55682
128,12.8,-2.30449,-7.14505,0.04705,-0.00071,0.02617,1.55671
129,12.9,-2.3042,-7.1462,0.0443,-0.00067,0.02595,1.55646
130,13,-2.30008,-7.12454,0.03493,-0.00015,0.02568,1.55779
131,13.1,-2.30085,-7.12881,0.03528,0.0002,0.02545,1.55674
132,13.2,-2.30631,-7.14639,0.0481,-0.00064,0.02621,1.55658
133,13.3,-2.3037,-7.14552,0.04528,-0.00057,0.02582,1.55704
134,13.4,-2.30731,-7.14321,0.05023,-0.00072,0.02623,1.55657
135,13.5,-2.31034,-7.15156,0.05141,-0.00098,0.02642,1.55681
136,13.6,-2.30571,-7.14663,0.04602,-0.0009,0.02579,1.55664
137,13.7,-2.30175,-7.1197,0.03367,8E-05,0.02568,1.55807
138,13.8,-2.30966,-7.14655,0.04838,-0.00062,0.02636,1.55658
139,13.9,-2.30212,-7.14631,0.04868,-0.00073,0.02609,1.5568
140,14,-2.3071,-7.14165,0.0472,-0.00078,0.02607,1.55645
141,14.1,-2.30409,-7.14064,0.04829,-0.00053,0.02606,1.55695
142,14.2,-2.30946,-7.15042,0.04398,-0.00047,0.02611,1.55632
143,14.3,-2.30359,-7.14529,0.04719,-0.0009,0.02572,1.55709
144,14.4,-2.30425,-7.14269,0.0468,-0.00093,0.02571,1.55705
145,14.5,-2.30545,-7.14582,0.0484,-0.0004,0.0263,1.55709
146,14.6,-2.30423,-7.14603,0.04836,-0.00078,0.02591,1.55682
